Site,Score,Mag,z-value,signif
CNN,-0.1027044043554075,1.960566040250303,0.12369089600830027,False
Fox,-0.031000000834465025,1.0396666611358523,1.2371684651805475,False
NPR,-0.07500000298023224,2.9916666594023504,0.5539047738713616,False
NYT,0.016666667225460213,1.9944444407398503,1.9773707829699183,False
WaPo,-0.16911764759100786,1.768067220679852,-0.9076217292647523,False
BNN,-0.21605263234099797,1.6723684019686882,-1.6364619421715059,False
Gdn,-0.10340909261933781,1.8556818350599231,0.1127479896229739,False
Pol,-0.1470799152852002,1.1612151114621823,-0.5654039658777027,False
ABC,-0.141666670401509,1.5230769254744818,-0.4813432044955072,False
Huff,-0.1373333357274532,1.9520000004271667,-0.41405206584363635,False
